MAX30009reg0x17,MAX30009reg0x18,MAX30009reg0x19,MAX30009reg0x1A,MAX30009reg0x20,MAX30009reg0x21,MAX30009reg0x22,MAX30009reg0x23,MAX30009reg0x24,MAX30009reg0x25,MAX30009reg0x26,MAX30009reg0x27,MAX30009reg0x28,MAX30009reg0x41,MAX30009reg0x41,MAX30009reg0x43,MAX30009reg0x44,MAX30009reg0x50,
MAX30009reg0x51,MAX30009reg0x58,MAX30009reg0xFE,MAX30009reg0xFF,0,0,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0xc9,0x1f,0x01,0x00,0x37,0x00,0x18,0x00,0x73,0x4a,0x00,0xff,0x00,0x06,0x01,0xa0,0xf1,0x00,
0x00,0x07,0x03,0x42,0x00,0x00,0x00,0x00,0x00,0x00,0x1f,0x6f,0x84,0xf4,0x86,0x00,0x01,0x8d,
start time,1706973000838
timestamp,sampleNum,BIOZI,BIOZQ,temperature,RTC,statusCache1,statusCache0,sensor,regAddr,val,I2Caddr,
1706973000868.205600,1,17433.000000,12312.000000,,,,,,,,,
1706973000878.411400,2,25733.000000,-1862.000000,,,,,,,,,
1706973000888.616900,3,29253.000000,-4952.000000,0.000000,241,13,0,,,,,
1706973000898.822500,4,29132.000000,-4783.000000,,,,,,,,,
1706973000909.028100,5,29185.000000,-4494.000000,,,,,,,,,
1706973000919.233900,6,28627.000000,-4666.000000,,,,,,,,,
1706973000929.439500,7,28716.000000,-4718.000000,,,,,,,,,
1706973000939.645000,8,28749.000000,-5098.000000,,,,,,,,,
1706973000949.850800,9,29084.000000,-4980.000000,,,,,,,,,
1706973000960.056400,10,29169.000000,-5172.000000,,,,,,,,,
1706973000970.262000,11,29134.000000,-4562.000000,,,,,,,,,
1706973000980.467800,12,29061.000000,-4632.000000,,,,,,,,,
1706973000990.673300,13,28643.000000,-4635.000000,,,,,,,,,
1706973001000.878900,14,28820.000000,-4946.000000,,,,,,,,,
1706973001011.084500,15,28783.000000,-4875.000000,,,,,,,,,
1706973001021.290300,16,29222.000000,-5066.000000,,,,,,,,,
1706973001031.495800,17,29118.000000,-4838.000000,,,,,,,,,
1706973001041.701400,18,29350.000000,-4685.000000,,,,,,,,,
1706973001051.907200,19,28909.000000,-4574.000000,,,,,,,,,
1706973001062.112800,20,28949.000000,-4596.000000,,,,,,,,,
1706973001072.318400,21,28630.000000,-4762.000000,,,,,,,,,
1706973001082.524200,22,28926.000000,-4926.000000,,,,,,,,,
1706973001092.729700,23,28892.000000,-5177.000000,,,,,,,,,
1706973001102.935300,24,29333.000000,-4839.000000,,,,,,,,,
1706973001113.140900,25,29198.000000,-4809.000000,,,,,,,,,
1706973001123.346700,26,29139.000000,-4504.000000,,,,,,,,,
1706973001133.552200,27,28890.000000,-4757.000000,,,,,,,,,
1706973001143.757800,28,28785.000000,-4577.000000,,,,,,,,,
1706973001153.963600,29,28678.000000,-5003.000000,,,,,,,,,
1706973001164.169200,30,28914.000000,-4926.000000,,,,,,,,,
1706973001174.374800,31,29040.000000,-5162.000000,,,,,,,,,
1706973001184.580600,32,29194.000000,-4817.000000,,,,,,,,,
1706973001194.786100,33,29275.000000,-4965.000000,,,,,,,,,
1706973001204.991700,34,29140.000000,-4506.000000,,,,,,,,,
1706973001215.197300,35,28970.000000,-4580.000000,,,,,,,,,
1706973001225.403100,36,28765.000000,-4511.000000,,,,,,,,,
1706973001235.608600,37,28857.000000,-5020.000000,,,,,,,,,
1706973001245.814200,38,29005.000000,-4881.000000,,,,,,,,,
1706973001256.020000,39,29344.000000,-5126.000000,,,,,,,,,
1706973001266.225600,40,29274.000000,-4816.000000,,,,,,,,,
1706973001276.431200,41,29392.000000,-4706.000000,,,,,,,,,
1706973001286.637000,42,28867.000000,-4547.000000,,,,,,,,,
1706973001296.842500,43,28951.000000,-4669.000000,,,,,,,,,
1706973001307.048100,44,28751.000000,-4938.000000,,,,,,,,,
1706973001317.253700,45,29167.000000,-4950.000000,,,,,,,,,
1706973001327.459500,46,29283.000000,-5116.000000,,,,,,,,,
1706973001337.665000,47,29588.000000,-4683.000000,,,,,,,,,
1706973001347.870600,48,29210.000000,-4699.000000,,,,,,,,,
1706973001358.076400,49,29047.000000,-4359.000000,,,,,,,,,
1706973001368.282000,50,28801.000000,-4790.000000,,,,,,,,,
1706973001378.487500,51,28818.000000,-4757.000000,,,,,,,,,
1706973001388.693400,52,29208.000000,-5093.000000,,,,,,,,,
1706973001398.898900,53,29295.000000,-4882.000000,,,,,,,,,
1706973001409.104500,54,29469.000000,-4776.000000,,,,,,,,,
1706973001419.310100,55,29130.000000,-4438.000000,,,,,,,,,
1706973001429.515900,56,29098.000000,-4544.000000,,,,,,,,,
1706973001439.721400,57,28704.000000,-4661.000000,,,,,,,,,
1706973001449.927000,58,28948.000000,-4998.000000,,,,,,,,,
1706973001460.132800,59,28856.000000,-5093.000000,,,,,,,,,
1706973001470.338400,60,29285.000000,-5064.000000,,,,,,,,,
1706973001480.543900,61,29205.000000,-4878.000000,,,,,,,,,
1706973001490.749800,62,29433.000000,-4630.000000,,,,,,,,,
1706973001500.955300,63,28997.000000,-4586.000000,,,,,,,,,
1706973001511.160900,64,29046.000000,-4487.000000,,,,,,,,,
1706973001521.366500,65,28736.000000,-4817.000000,,,,,,,,,
1706973001531.572300,66,29022.000000,-4860.000000,,,,,,,,,
1706973001541.777800,67,29244.000000,-5139.000000,,,,,,,,,
1706973001551.983400,68,29228.000000,-4619.000000,,,,,,,,,
1706973001562.189200,69,29268.000000,-4588.000000,,,,,,,,,
1706973001572.394800,70,28763.000000,-4512.000000,,,,,,,,,
1706973001582.600300,71,29071.000000,-4870.000000,,,,,,,,,
1706973001592.806200,72,29216.000000,-5147.000000,,,,,,,,,
1706973001603.011700,73,29552.000000,-4660.000000,,,,,,,,,
1706973001613.217300,74,29317.000000,-4630.000000,,,,,,,,,
1706973001623.422900,75,28884.000000,-4424.000000,,,,,,,,,
1706973001633.628700,76,28966.000000,-4927.000000,,,,,,,,,
1706973001643.834200,77,28806.000000,-5010.000000,,,,,,,,,
1706973001654.039800,78,29398.000000,-4989.000000,,,,,,,,,
1706973001664.245600,79,29299.000000,-4826.000000,,,,,,,,,
1706973001674.451200,80,29293.000000,-4388.000000,,,,,,,,,
1706973001684.656700,81,28822.000000,-4761.000000,,,,,,,,,
1706973001694.862500,82,28830.000000,-4789.000000,,,,,,,,,
1706973001705.068100,83,29253.000000,-5146.000000,,,,,,,,,
1706973001715.273700,84,29277.000000,-4866.000000,,,,,,,,,
1706973001725.479200,85,29545.000000,-4604.000000,,,,,,,,,
1706973001735.685100,86,28967.000000,-4590.000000,,,,,,,,,
1706973001745.890600,87,29079.000000,-4600.000000,,,,,,,,,
1706973001756.096200,88,29066.000000,-5140.000000,,,,,,,,,
1706973001766.302000,89,29417.000000,-4873.000000,,,,,,,,,
1706973001776.507600,90,29567.000000,-4767.000000,0.000000,1150,7,0,,,,,
1706973001786.713100,91,29120.000000,-4425.000000,,,,,,,,,
1706973001796.918700,92,29131.000000,-4586.000000,,,,,,,,,
1706973001807.124500,93,28811.000000,-4896.000000,,,,,,,,,
1706973001817.330100,94,29338.000000,-4867.000000,,,,,,,,,
1706973001827.535600,95,29342.000000,-5044.000000,,,,,,,,,
1706973001837.741500,96,29426.000000,-4469.000000,,,,,,,,,
1706973001847.947000,97,29246.000000,-4519.000000,,,,,,,,,
1706973001858.152600,98,28815.000000,-4366.000000,,,,,,,,,
1706973001868.358400,99,29133.000000,-5084.000000,,,,,,,,,
1706973001878.564000,100,29016.000000,-5069.000000,,,,,,,,,
1706973001888.769500,101,29559.000000,-4866.000000,,,,,,,,,
1706973001898.975100,102,29399.000000,-4655.000000,,,,,,,,,
1706973001909.180900,103,29274.000000,-4379.000000,,,,,,,,,
1706973001919.386500,104,28846.000000,-4803.000000,,,,,,,,,
1706973001929.592000,105,29119.000000,-4764.000000,,,,,,,,,
1706973001939.797900,106,29173.000000,-5197.000000,,,,,,,,,
1706973001950.003400,107,29392.000000,-4808.000000,,,,,,,,,
1706973001960.209000,108,29552.000000,-4797.000000,,,,,,,,,
1706973001970.414800,109,29252.000000,-4320.000000,,,,,,,,,
1706973001980.620400,110,29079.000000,-4647.000000,,,,,,,,,
1706973001990.825900,111,28850.000000,-4852.000000,,,,,,,,,
1706973002001.031500,112,29293.000000,-4983.000000,,,,,,,,,
1706973002011.237300,113,29332.000000,-5081.000000,,,,,,,,,
1706973002021.442900,114,29547.000000,-4642.000000,,,,,,,,,
1706973002031.648400,115,29180.000000,-4654.000000,,,,,,,,,
1706973002041.854200,116,29103.000000,-4463.000000,,,,,,,,,
1706973002052.059800,117,29039.000000,-5016.000000,,,,,,,,,
1706973002062.265400,118,29047.000000,-4961.000000,,,,,,,,,
1706973002072.471200,119,29512.000000,-5127.000000,,,,,,,,,
1706973002082.676800,120,29306.000000,-4595.000000,,,,,,,,,
1706973002092.882300,121,29444.000000,-4349.000000,,,,,,,,,
1706973002103.087900,122,28795.000000,-4705.000000,,,,,,,,,
1706973002113.293700,123,28991.000000,-4763.000000,,,,,,,,,
1706973002123.499300,124,29248.000000,-5164.000000,,,,,,,,,
