MAX30009reg0x17,MAX30009reg0x18,MAX30009reg0x19,MAX30009reg0x1A,MAX30009reg0x20,MAX30009reg0x21,MAX30009reg0x22,MAX30009reg0x23,MAX30009reg0x24,MAX30009reg0x25,MAX30009reg0x26,MAX30009reg0x27,MAX30009reg0x28,MAX30009reg0x41,MAX30009reg0x41,MAX30009reg0x43,MAX30009reg0x44,MAX30009reg0x50,
MAX30009reg0x51,MAX30009reg0x58,MAX30009reg0xFE,MAX30009reg0xFF,0,0,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0xc9,0x1f,0x01,0x00,0x37,0x00,0x18,0x00,0x73,0x4a,0x00,0xff,0x00,0x06,0x01,0xa0,0xf1,0x00,
0x00,0x07,0x03,0x42,0x00,0x00,0x00,0x00,0x00,0x00,0x1f,0x70,0x2e,0x8b,0x00,0x00,0x01,0x8d,
start time,1706984114944
timestamp,sampleNum,BIOZI,BIOZQ,temperature,RTC,statusCache1,statusCache0,sensor,regAddr,val,I2Caddr,
1706984114974.209700,1,17670.000000,12465.000000,,,,,,,,,
1706984114984.419200,2,27135.000000,-1678.000000,,,,,,,,,
1706984114994.628900,3,30464.000000,-4972.000000,,,,,,,,,
1706984115004.838400,4,29734.000000,-5012.000000,,,,,,,,,
1706984115015.048100,5,30043.000000,-4842.000000,,,,,,,,,
1706984115025.257800,6,30530.000000,-4537.000000,,,,,,,,,
1706984115035.467300,7,30152.000000,-5182.000000,,,,,,,,,
1706984115045.677000,8,29950.000000,-5142.000000,,,,,,,,,
1706984115055.886500,9,30104.000000,-4500.000000,,,,,,,,,
1706984115066.096200,10,30344.000000,-4883.000000,,,,,,,,,
1706984115076.305900,11,30290.000000,-5251.000000,,,,,,,,,
1706984115086.515400,12,29878.000000,-4679.000000,,,,,,,,,
1706984115096.725100,13,30085.000000,-4671.000000,,,,,,,,,
1706984115106.934600,14,30675.000000,-5020.000000,,,,,,,,,
1706984115117.144300,15,29995.000000,-5037.000000,,,,,,,,,
1706984115127.354000,16,29638.000000,-4911.000000,,,,,,,,,
