MAX30009reg0x17,MAX30009reg0x18,MAX30009reg0x19,MAX30009reg0x1A,MAX30009reg0x20,MAX30009reg0x21,MAX30009reg0x22,MAX30009reg0x23,MAX30009reg0x24,MAX30009reg0x25,MAX30009reg0x26,MAX30009reg0x27,MAX30009reg0x28,MAX30009reg0x41,MAX30009reg0x41,MAX30009reg0x43,MAX30009reg0x44,MAX30009reg0x50,
MAX30009reg0x51,MAX30009reg0x58,MAX30009reg0xFE,MAX30009reg0xFF,0,0,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0xc9,0x1f,0x01,0x00,0x37,0x00,0x18,0x00,0x73,0x4a,0x00,0xff,0x00,0x06,0x01,0xa0,0xf1,0x00,
0x00,0x07,0x03,0x42,0x00,0x00,0x00,0x00,0x00,0x00,0x1f,0x70,0x6c,0xc5,0x51,0x00,0x01,0x8d,
start time,1706988193105
timestamp,sampleNum,BIOZI,BIOZQ,temperature,RTC,statusCache1,statusCache0,sensor,regAddr,val,I2Caddr,
1706988193135.208000,1,17635.000000,12318.000000,,,,,,,,,
1706988193145.416000,2,26574.000000,-1871.000000,,,,,,,,,
1706988193155.624000,3,30608.000000,-4830.000000,,,,,,,,,
1706988193165.831800,4,30736.000000,-5067.000000,,,,,,,,,
1706988193176.039800,5,29939.000000,-4924.000000,,,,,,,,,
1706988193186.247800,6,30276.000000,-4919.000000,,,,,,,,,
1706988193196.455800,7,30669.000000,-5196.000000,,,,,,,,,
1706988193206.663800,8,30124.000000,-4777.000000,,,,,,,,,
1706988193216.871800,9,30217.000000,-4655.000000,,,,,,,,,
1706988193227.079800,10,30455.000000,-5410.000000,,,,,,,,,
1706988193237.287600,11,30301.000000,-4958.000000,,,,,,,,,
1706988193247.495600,12,30426.000000,-4537.000000,,,,,,,,,
1706988193257.703600,13,30286.000000,-5199.000000,,,,,,,,,
1706988193267.911600,14,30222.000000,-5115.000000,,,,,,,,,
1706988193278.119600,15,30749.000000,-4663.000000,,,,,,,,,
1706988193288.327600,16,30395.000000,-4990.000000,,,,,,,,,
1706988193298.535600,17,30083.000000,-4945.000000,,,,,,,,,
1706988193308.743400,18,30718.000000,-4792.000000,,,,,,,,,
1706988193318.951400,19,30488.000000,-5084.000000,,,,,,,,,
1706988193329.159400,20,29880.000000,-5004.000000,,,,,,,,,
1706988193339.367400,21,30583.000000,-4917.000000,,,,,,,,,
1706988193349.575400,22,30655.000000,-5098.000000,,,,,,,,,
1706988193359.783400,23,29801.000000,-4813.000000,,,,,,,,,
1706988193369.991500,24,30304.000000,-4980.000000,,,,,,,,,
1706988193380.199500,25,30749.000000,-5345.000000,,,,,,,,,
