MAX30009reg0x17,MAX30009reg0x18,MAX30009reg0x19,MAX30009reg0x1A,MAX30009reg0x20,MAX30009reg0x21,MAX30009reg0x22,MAX30009reg0x23,MAX30009reg0x24,MAX30009reg0x25,MAX30009reg0x26,MAX30009reg0x27,MAX30009reg0x28,MAX30009reg0x41,MAX30009reg0x41,MAX30009reg0x43,MAX30009reg0x44,MAX30009reg0x50,
MAX30009reg0x51,MAX30009reg0x58,MAX30009reg0xFE,MAX30009reg0xFF,0,0,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0xc9,0x1f,0x01,0x00,0x37,0x00,0x18,0x00,0x73,0x4a,0x00,0xff,0x00,0x06,0x01,0xa0,0xf1,0x00,
0x00,0x07,0x03,0x42,0x00,0x00,0x00,0x00,0x00,0x00,0x1f,0x70,0x05,0xe7,0x6e,0x00,0x01,0x8d,
start time,1706981451630
timestamp,sampleNum,BIOZI,BIOZQ,temperature,RTC,statusCache1,statusCache0,sensor,regAddr,val,I2Caddr,
1706981451660.208000,1,17606.000000,12271.000000,,,,,,,,,
1706981451670.416300,2,26533.000000,-2040.000000,,,,,,,,,
1706981451680.624500,3,30270.000000,-4796.000000,0.000000,241,13,0,,,,,
1706981451690.832500,4,30138.000000,-4965.000000,,,,,,,,,
1706981451701.040500,5,29718.000000,-5189.000000,,,,,,,,,
1706981451711.248800,6,30130.000000,-4853.000000,,,,,,,,,
1706981451721.457000,7,30257.000000,-4844.000000,,,,,,,,,
1706981451731.665000,8,29669.000000,-5133.000000,,,,,,,,,
1706981451741.873000,9,29910.000000,-4984.000000,,,,,,,,,
1706981451752.081300,10,30395.000000,-5064.000000,,,,,,,,,
1706981451762.289600,11,29816.000000,-4967.000000,,,,,,,,,
1706981451772.497600,12,29825.000000,-4916.000000,,,,,,,,,
1706981451782.705600,13,30271.000000,-5161.000000,,,,,,,,,
1706981451792.913800,14,29907.000000,-4980.000000,,,,,,,,,
1706981451803.122100,15,29736.000000,-4733.000000,,,,,,,,,
1706981451813.330100,16,30237.000000,-5153.000000,,,,,,,,,
1706981451823.538100,17,30097.000000,-5191.000000,,,,,,,,,
1706981451833.746300,18,29742.000000,-4770.000000,,,,,,,,,
1706981451843.954600,19,30093.000000,-4993.000000,,,,,,,,,
1706981451854.162600,20,30121.000000,-5286.000000,,,,,,,,,
1706981451864.370600,21,29679.000000,-5014.000000,,,,,,,,,
1706981451874.578900,22,29945.000000,-4903.000000,,,,,,,,,
1706981451884.787100,23,30339.000000,-5173.000000,,,,,,,,,
1706981451894.995100,24,29832.000000,-5005.000000,,,,,,,,,
1706981451905.203100,25,29763.000000,-4814.000000,,,,,,,,,
1706981451915.411400,26,30302.000000,-5044.000000,,,,,,,,,
1706981451925.619600,27,29956.000000,-5060.000000,,,,,,,,,
1706981451935.827600,28,29595.000000,-4778.000000,,,,,,,,,
1706981451946.035600,29,30165.000000,-4933.000000,,,,,,,,,
1706981451956.243900,30,30185.000000,-5064.000000,,,,,,,,,
1706981451966.452100,31,29660.000000,-4974.000000,,,,,,,,,
1706981451976.660200,32,30143.000000,-4897.000000,,,,,,,,,
1706981451986.868200,33,30366.000000,-5061.000000,,,,,,,,,
1706981451997.076400,34,29631.000000,-4997.000000,,,,,,,,,
1706981452007.284700,35,29894.000000,-4897.000000,,,,,,,,,
1706981452017.492700,36,30360.000000,-4987.000000,,,,,,,,,
1706981452027.700700,37,29803.000000,-5039.000000,,,,,,,,,
1706981452037.908900,38,29594.000000,-4941.000000,,,,,,,,,
1706981452048.117200,39,30335.000000,-4909.000000,,,,,,,,,
1706981452058.325200,40,30079.000000,-5076.000000,,,,,,,,,
1706981452068.533200,41,29607.000000,-5088.000000,,,,,,,,,
1706981452078.741500,42,30118.000000,-4890.000000,,,,,,,,,
1706981452088.949700,43,30252.000000,-4973.000000,,,,,,,,,
1706981452099.157700,44,29694.000000,-5201.000000,,,,,,,,,
1706981452109.365700,45,29959.000000,-4894.000000,,,,,,,,,
1706981452119.574000,46,30294.000000,-4804.000000,,,,,,,,,
1706981452129.782200,47,29765.000000,-5148.000000,,,,,,,,,
1706981452139.990200,48,29825.000000,-5010.000000,,,,,,,,,
1706981452150.198200,49,30245.000000,-4762.000000,,,,,,,,,
1706981452160.406500,50,29899.000000,-5078.000000,,,,,,,,,
1706981452170.614700,51,29645.000000,-5121.000000,,,,,,,,,
1706981452180.822800,52,30219.000000,-4800.000000,,,,,,,,,
1706981452191.030800,53,30066.000000,-4974.000000,,,,,,,,,
1706981452201.239000,54,29568.000000,-5096.000000,,,,,,,,,
1706981452211.447300,55,30130.000000,-4888.000000,,,,,,,,,
1706981452221.655300,56,30282.000000,-4993.000000,,,,,,,,,
1706981452231.863300,57,29604.000000,-5021.000000,,,,,,,,,
1706981452242.071500,58,29920.000000,-4876.000000,,,,,,,,,
1706981452252.279800,59,30304.000000,-5026.000000,,,,,,,,,
1706981452262.487800,60,29740.000000,-5084.000000,,,,,,,,,
1706981452272.695800,61,29747.000000,-4892.000000,,,,,,,,,
1706981452282.904100,62,30337.000000,-4874.000000,,,,,,,,,
1706981452293.112300,63,29963.000000,-5032.000000,,,,,,,,,
1706981452303.320300,64,29633.000000,-5055.000000,,,,,,,,,
1706981452313.528300,65,30287.000000,-4912.000000,,,,,,,,,
1706981452323.736600,66,30228.000000,-4993.000000,,,,,,,,,
1706981452333.944800,67,29615.000000,-5081.000000,,,,,,,,,
1706981452344.152800,68,30104.000000,-4908.000000,,,,,,,,,
1706981452354.360800,69,30284.000000,-5035.000000,,,,,,,,,
1706981452364.569100,70,29612.000000,-5094.000000,,,,,,,,,
1706981452374.777300,71,29870.000000,-4964.000000,,,,,,,,,
1706981452384.985400,72,30346.000000,-4952.000000,,,,,,,,,
1706981452395.193400,73,29764.000000,-5061.000000,,,,,,,,,
1706981452405.401600,74,29770.000000,-5038.000000,,,,,,,,,
1706981452415.609900,75,30422.000000,-5026.000000,,,,,,,,,
1706981452425.817900,76,29925.000000,-4973.000000,,,,,,,,,
1706981452436.025900,77,29631.000000,-4927.000000,,,,,,,,,
1706981452446.234100,78,30215.000000,-5018.000000,,,,,,,,,
1706981452456.442400,79,30153.000000,-5173.000000,,,,,,,,,
1706981452466.650400,80,29598.000000,-4975.000000,,,,,,,,,
1706981452476.858400,81,29996.000000,-4916.000000,,,,,,,,,
1706981452487.066700,82,30300.000000,-5114.000000,,,,,,,,,
1706981452497.274900,83,29734.000000,-5002.000000,,,,,,,,,
1706981452507.482900,84,29882.000000,-4922.000000,0.000000,1087,7,0,,,,,
1706981452517.690900,85,30382.000000,-4939.000000,,,,,,,,,
1706981452527.899200,86,29863.000000,-5114.000000,,,,,,,,,
1706981452538.107400,87,29692.000000,-5027.000000,,,,,,,,,
1706981452548.315400,88,30273.000000,-4945.000000,,,,,,,,,
1706981452558.523400,89,29949.000000,-5050.000000,,,,,,,,,
