MAX30009reg0x17,MAX30009reg0x18,MAX30009reg0x19,MAX30009reg0x1A,MAX30009reg0x20,MAX30009reg0x21,MAX30009reg0x22,MAX30009reg0x23,MAX30009reg0x24,MAX30009reg0x25,MAX30009reg0x26,MAX30009reg0x27,MAX30009reg0x28,MAX30009reg0x41,MAX30009reg0x41,MAX30009reg0x43,MAX30009reg0x44,MAX30009reg0x50,
MAX30009reg0x51,MAX30009reg0x58,MAX30009reg0xFE,MAX30009reg0xFF,0,0,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0xc9,0x1f,0x01,0x00,0x37,0x00,0x18,0x00,0x73,0x4a,0x00,0xff,0x00,0x06,0x01,0xa0,0xf1,0x00,
0x00,0x07,0x03,0x42,0x00,0x00,0x00,0x00,0x00,0x00,0x1f,0x70,0xd2,0x66,0xa1,0x00,0x01,0x8d,
start time,1706994853537
timestamp,sampleNum,BIOZI,BIOZQ,temperature,RTC,statusCache1,statusCache0,sensor,regAddr,val,I2Caddr,
1706994853567.207800,1,17507.000000,12474.000000,,,,,,,,,
1706994853577.415500,2,26134.000000,-1656.000000,,,,,,,,,
1706994853587.623000,3,29472.000000,-5340.000000,,,,,,,,,
1706994853597.830800,4,29232.000000,-4689.000000,,,,,,,,,
1706994853608.038600,5,29332.000000,-4481.000000,,,,,,,,,
1706994853618.246300,6,29342.000000,-5294.000000,,,,,,,,,
1706994853628.453900,7,29215.000000,-5020.000000,,,,,,,,,
1706994853638.661600,8,29329.000000,-4440.000000,,,,,,,,,
1706994853648.869400,9,29280.000000,-5067.000000,,,,,,,,,
1706994853659.077100,10,29177.000000,-5200.000000,,,,,,,,,
1706994853669.284700,11,29389.000000,-4449.000000,,,,,,,,,
1706994853679.492400,12,29350.000000,-4846.000000,,,,,,,,,
1706994853689.700200,13,29125.000000,-5277.000000,,,,,,,,,
1706994853699.908000,14,29352.000000,-4634.000000,,,,,,,,,
1706994853710.115700,15,29482.000000,-4776.000000,,,,,,,,,
1706994853720.323200,16,29096.000000,-5297.000000,,,,,,,,,
