MAX30009reg0x17,MAX30009reg0x18,MAX30009reg0x19,MAX30009reg0x1A,MAX30009reg0x20,MAX30009reg0x21,MAX30009reg0x22,MAX30009reg0x23,MAX30009reg0x24,MAX30009reg0x25,MAX30009reg0x26,MAX30009reg0x27,MAX30009reg0x28,MAX30009reg0x41,MAX30009reg0x41,MAX30009reg0x43,MAX30009reg0x44,MAX30009reg0x50,
MAX30009reg0x51,MAX30009reg0x58,MAX30009reg0xFE,MAX30009reg0xFF,0,0,accelID,fileParseID,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0xc9,0x1f,0x01,0x00,0x37,0x00,0x28,0x00,0x73,0x4a,0x00,0xff,0x02,0x06,0x01,0xa0,0xcd,0x00,
0x00,0x07,0x03,0x42,0x00,0x00,0x00,0x00,0x00,0x00,0x1f,0x9f,0x87,0x54,0x06,0x00,0x01,0x8e,
start time,1712073430022
timestamp,sampleNum,BIOZI,BIOZQ,temperature,RTC,statusCache1,statusCache0,sensor,regAddr,val,I2Caddr,
1712073430052.196300,1,27900.000000,11309.000000,,,,,,,,,
1712073430062.392600,2,82290.000000,-7623.000000,,,,,,,,,
1712073430072.588900,3,98142.000000,-12039.000000,,,,,,,,,
1712073430082.785200,4,98137.000000,-12032.000000,,,,,,,,,
1712073430092.981400,5,98146.000000,-12025.000000,,,,,,,,,
1712073430103.177700,6,98156.000000,-12024.000000,,,,,,,,,
1712073430113.374000,7,98170.000000,-12031.000000,,,,,,,,,
1712073430123.570300,8,98150.000000,-12039.000000,,,,,,,,,
1712073430133.766600,9,98142.000000,-12044.000000,,,,,,,,,
1712073430143.963100,10,98134.000000,-12046.000000,,,,,,,,,
1712073430154.159400,11,98118.000000,-12053.000000,,,,,,,,,
1712073430164.355700,12,98111.000000,-12068.000000,,,,,,,,,
1712073430174.552000,13,98097.000000,-12076.000000,,,,,,,,,
1712073430184.748300,14,98090.000000,-12074.000000,,,,,,,,,
1712073430194.944600,15,98087.000000,-12059.000000,,,,,,,,,
1712073430205.140900,16,98088.000000,-12057.000000,,,,,,,,,
1712073430215.337200,17,98078.000000,-12063.000000,,,,,,,,,
1712073430225.533400,18,98081.000000,-12074.000000,,,,,,,,,
1712073430235.729700,19,98080.000000,-12076.000000,,,,,,,,,
1712073430245.926000,20,98065.000000,-12074.000000,,,,,,,,,
1712073430256.122300,21,98063.000000,-12062.000000,,,,,,,,,
1712073430266.318600,22,98050.000000,-12067.000000,,,,,,,,,
1712073430276.514900,23,98046.000000,-12075.000000,,,,,,,,,
1712073430286.711200,24,98052.000000,-12078.000000,,,,,,,,,
1712073430296.907500,25,98041.000000,-12073.000000,,,,,,,,,
1712073430307.103800,26,98043.000000,-12074.000000,,,,,,,,,
1712073430317.300000,27,98048.000000,-12075.000000,,,,,,,,,
1712073430327.496600,28,98046.000000,-12073.000000,,,,,,,,,
1712073430337.692900,29,98042.000000,-12077.000000,,,,,,,,,
1712073430347.889200,30,98045.000000,-12063.000000,,,,,,,,,
1712073430358.085400,31,98035.000000,-12058.000000,,,,,,,,,
1712073430368.281700,32,98009.000000,-12066.000000,,,,,,,,,
1712073430378.478000,33,98000.000000,-12057.000000,,,,,,,,,
1712073430388.674300,34,97994.000000,-12050.000000,,,,,,,,,
1712073430398.870600,35,97966.000000,-12060.000000,,,,,,,,,
1712073430409.066900,36,97945.000000,-12052.000000,,,,,,,,,
1712073430419.263200,37,97919.000000,-12047.000000,,,,,,,,,
1712073430429.459500,38,97895.000000,-12043.000000,,,,,,,,,
1712073430439.655800,39,97897.000000,-12036.000000,,,,,,,,,
1712073430449.852100,40,97891.000000,-12034.000000,,,,,,,,,
1712073430460.048300,41,97886.000000,-12044.000000,,,,,,,,,
1712073430470.244600,42,97881.000000,-12042.000000,0.000000,648,13,0,,,,,
1712073430480.440900,43,97879.000000,-12044.000000,,,,,,,,,
1712073430490.637200,44,97887.000000,-12049.000000,,,,,,,,,
1712073430500.833500,45,97899.000000,-12043.000000,,,,,,,,,
1712073430511.029800,46,97905.000000,-12044.000000,,,,,,,,,
1712073430521.226300,47,97916.000000,-12057.000000,,,,,,,,,
1712073430531.422600,48,97927.000000,-12067.000000,,,,,,,,,
1712073430541.618900,49,97928.000000,-12058.000000,,,,,,,,,
1712073430551.815200,50,97936.000000,-12058.000000,,,,,,,,,
1712073430562.011500,51,97945.000000,-12058.000000,,,,,,,,,
1712073430572.207800,52,97935.000000,-12056.000000,,,,,,,,,
1712073430582.404100,53,97933.000000,-12056.000000,,,,,,,,,
1712073430592.600300,54,97923.000000,-12059.000000,,,,,,,,,
1712073430602.796600,55,97931.000000,-12064.000000,,,,,,,,,
1712073430612.992900,56,97939.000000,-12065.000000,,,,,,,,,
1712073430623.189200,57,97931.000000,-12066.000000,,,,,,,,,
1712073430633.385500,58,97936.000000,-12070.000000,,,,,,,,,
1712073430643.581800,59,97944.000000,-12063.000000,,,,,,,,,
1712073430653.778100,60,97941.000000,-12056.000000,,,,,,,,,
1712073430663.974400,61,97943.000000,-12054.000000,,,,,,,,,
1712073430674.170700,62,97949.000000,-12053.000000,,,,,,,,,
1712073430684.366900,63,97947.000000,-12060.000000,,,,,,,,,
1712073430694.563200,64,97959.000000,-12063.000000,,,,,,,,,
1712073430704.759500,65,97972.000000,-12076.000000,,,,,,,,,
1712073430714.956100,66,97961.000000,-12066.000000,,,,,,,,,
1712073430725.152300,67,97954.000000,-12055.000000,,,,,,,,,
1712073430735.348600,68,97953.000000,-12058.000000,,,,,,,,,
1712073430745.544900,69,97964.000000,-12061.000000,,,,,,,,,
1712073430755.741200,70,97967.000000,-12065.000000,,,,,,,,,
1712073430765.937500,71,97973.000000,-12064.000000,,,,,,,,,
1712073430776.133800,72,97968.000000,-12065.000000,,,,,,,,,
1712073430786.330100,73,97973.000000,-12069.000000,,,,,,,,,
1712073430796.526400,74,97972.000000,-12066.000000,,,,,,,,,
1712073430806.722700,75,97969.000000,-12060.000000,,,,,,,,,
1712073430816.918900,76,97968.000000,-12057.000000,,,,,,,,,
1712073430827.115200,77,97976.000000,-12062.000000,,,,,,,,,
1712073430837.311500,78,97978.000000,-12062.000000,,,,,,,,,
1712073430847.507800,79,97977.000000,-12068.000000,,,,,,,,,
1712073430857.704100,80,97984.000000,-12064.000000,,,,,,,,,
1712073430867.900400,81,98001.000000,-12056.000000,,,,,,,,,
1712073430878.096700,82,97978.000000,-12057.000000,,,,,,,,,
1712073430888.293000,83,97971.000000,-12060.000000,,,,,,,,,
1712073430898.489500,84,97983.000000,-12067.000000,,,,,,,,,
1712073430908.685800,85,97982.000000,-12055.000000,,,,,,,,,
1712073430918.882100,86,97999.000000,-12053.000000,,,,,,,,,
1712073430929.078400,87,98002.000000,-12055.000000,,,,,,,,,
1712073430939.274700,88,98007.000000,-12057.000000,,,,,,,,,
1712073430949.470900,89,98006.000000,-12065.000000,,,,,,,,,
1712073430959.667200,90,98004.000000,-12047.000000,,,,,,,,,
1712073430969.863500,91,98009.000000,-12058.000000,,,,,,,,,
1712073430980.059800,92,98009.000000,-12055.000000,,,,,,,,,
1712073430990.256100,93,98017.000000,-12060.000000,,,,,,,,,
1712073431000.452400,94,98017.000000,-12059.000000,,,,,,,,,
1712073431010.648700,95,98010.000000,-12060.000000,,,,,,,,,
1712073431020.845000,96,98016.000000,-12060.000000,,,,,,,,,
1712073431031.041300,97,98022.000000,-12074.000000,,,,,,,,,
1712073431041.237500,98,98013.000000,-12065.000000,,,,,,,,,
1712073431051.433800,99,98004.000000,-12062.000000,,,,,,,,,
1712073431061.630100,100,98016.000000,-12062.000000,,,,,,,,,
1712073431071.826400,101,98013.000000,-12065.000000,,,,,,,,,
1712073431082.022700,102,98023.000000,-12068.000000,,,,,,,,,
1712073431092.219200,103,98031.000000,-12069.000000,,,,,,,,,
1712073431102.415500,104,98042.000000,-12071.000000,,,,,,,,,
1712073431112.611800,105,98046.000000,-12063.000000,,,,,,,,,
1712073431122.808100,106,98045.000000,-12056.000000,,,,,,,,,
1712073431133.004400,107,98042.000000,-12061.000000,,,,,,,,,
1712073431143.200700,108,98048.000000,-12064.000000,,,,,,,,,
1712073431153.397000,109,98057.000000,-12059.000000,,,,,,,,,
1712073431163.593300,110,98062.000000,-12065.000000,,,,,,,,,
1712073431173.789600,111,98063.000000,-12077.000000,,,,,,,,,
1712073431183.985800,112,98078.000000,-12073.000000,,,,,,,,,
1712073431194.182100,113,98071.000000,-12072.000000,,,,,,,,,
1712073431204.378400,114,98068.000000,-12057.000000,,,,,,,,,
1712073431214.574700,115,98069.000000,-12056.000000,,,,,,,,,
1712073431224.771000,116,98060.000000,-12056.000000,,,,,,,,,
1712073431234.967300,117,98040.000000,-12051.000000,,,,,,,,,
1712073431245.163600,118,98021.000000,-12039.000000,,,,,,,,,
1712073431255.359900,119,98007.000000,-12028.000000,,,,,,,,,
1712073431265.556200,120,97991.000000,-12040.000000,,,,,,,,,
1712073431275.752700,121,97964.000000,-12045.000000,,,,,,,,,
1712073431285.949000,122,97961.000000,-12016.000000,,,,,,,,,
1712073431296.145300,123,97977.000000,-12027.000000,,,,,,,,,
1712073431306.341600,124,97977.000000,-12035.000000,,,,,,,,,
1712073431316.537800,125,97965.000000,-12033.000000,,,,,,,,,
1712073431326.734100,126,97967.000000,-12031.000000,,,,,,,,,
1712073431336.930400,127,97972.000000,-12032.000000,,,,,,,,,
1712073431347.126700,128,97970.000000,-12031.000000,,,,,,,,,
1712073431357.323000,129,97982.000000,-12036.000000,,,,,,,,,
1712073431367.519300,130,97991.000000,-12045.000000,,,,,,,,,
1712073431377.715600,131,98011.000000,-12055.000000,,,,,,,,,
1712073431387.911900,132,98021.000000,-12049.000000,,,,,,,,,
1712073431398.108200,133,98021.000000,-12051.000000,,,,,,,,,
1712073431408.304400,134,98022.000000,-12052.000000,,,,,,,,,
1712073431418.500700,135,98036.000000,-12049.000000,,,,,,,,,
1712073431428.697000,136,98043.000000,-12043.000000,,,,,,,,,
1712073431438.893300,137,98052.000000,-12036.000000,,,,,,,,,
1712073431449.089600,138,98049.000000,-12047.000000,,,,,,,,,
1712073431459.285900,139,98045.000000,-12035.000000,,,,,,,,,
1712073431469.482400,140,98050.000000,-12047.000000,,,,,,,,,
1712073431479.678700,141,98071.000000,-12042.000000,0.000000,1682,7,0,,,,,
1712073431489.875000,142,98073.000000,-12040.000000,,,,,,,,,
1712073431500.071300,143,98071.000000,-12053.000000,,,,,,,,,
1712073431510.267600,144,98086.000000,-12058.000000,,,,,,,,,
1712073431520.463900,145,98086.000000,-12058.000000,,,,,,,,,
1712073431530.660200,146,98088.000000,-12069.000000,,,,,,,,,
1712073431540.856400,147,98086.000000,-12065.000000,,,,,,,,,
1712073431551.052700,148,98083.000000,-12067.000000,,,,,,,,,
1712073431561.249000,149,98091.000000,-12062.000000,,,,,,,,,
1712073431571.445300,150,98088.000000,-12063.000000,,,,,,,,,
1712073431581.641600,151,98106.000000,-12068.000000,,,,,,,,,
1712073431591.837900,152,98104.000000,-12068.000000,,,,,,,,,
1712073431602.034200,153,98099.000000,-12077.000000,,,,,,,,,
