iter	Passed	Remaining
0	0	492
1	0	458
2	1	450
3	1	491
4	2	549
5	3	541
6	3	566
7	4	574
8	5	559
9	5	582
10	6	575
11	6	557
12	7	545
13	7	540
14	8	533
15	8	521
16	8	516
17	9	511
18	9	508
19	10	502
20	10	498
21	11	490
22	11	488
23	11	481
24	12	480
25	12	476
26	13	475
27	13	473
28	14	469
29	14	467
30	14	461
31	15	457
32	15	454
33	15	452
34	16	455
35	17	458
36	17	460
37	18	459
38	18	460
39	19	459
40	19	457
41	20	456
42	20	451
43	20	450
44	21	448
45	21	447
46	21	445
47	22	445
48	22	442
49	23	441
50	23	440
51	24	441
52	24	440
53	24	436
54	25	435
55	25	434
56	26	433
57	26	432
58	27	431
59	27	431
60	27	429
61	28	428
62	28	426
63	29	425
64	29	424
65	29	423
66	30	422
67	30	420
68	31	419
69	31	420
70	32	419
71	33	436
72	35	454
73	37	466
74	37	465
75	39	483
76	45	539
77	47	557
78	47	554
79	48	552
80	48	550
81	48	548
82	49	546
83	52	574
84	53	570
85	53	568
86	53	566
87	54	566
88	55	569
89	58	588
90	58	586
91	59	584
92	59	581
93	60	579
94	60	577
95	60	572
96	61	569
97	61	566
98	61	563
99	62	559
100	62	559
101	63	556
102	63	555
103	64	552
104	64	551
105	65	549
106	65	546
107	65	544
108	66	541
109	66	538
110	66	536
111	67	535
112	67	533
113	68	531
114	68	529
115	69	528
116	69	526
117	70	524
118	70	522
119	70	520
120	71	518
121	71	517
122	72	514
123	72	513
124	73	511
125	73	509
126	73	508
127	74	506
128	74	505
129	75	503
130	75	501
131	76	501
132	76	499
133	77	497
134	77	495
135	77	494
136	78	493
137	78	491
138	79	489
139	79	487
140	79	486
141	80	484
142	80	483
143	81	482
144	81	480
145	81	479
146	82	477
147	82	476
148	83	475
149	83	473
150	84	472
151	84	471
152	84	469
153	85	468
154	85	467
155	86	465
156	86	464
157	86	462
158	87	460
159	87	459
160	87	458
161	88	457
162	88	455
163	88	453
164	89	452
165	89	450
166	90	449
167	90	447
168	90	445
169	91	444
170	91	442
171	91	441
172	91	439
173	92	438
174	92	436
175	93	435
176	93	434
177	93	433
178	94	432
179	94	430
180	94	429
181	95	427
182	95	426
183	95	424
184	96	423
185	96	421
186	96	419
187	96	418
188	97	417
189	97	416
190	97	414
191	98	413
192	98	411
193	98	409
194	98	408
195	99	406
196	99	405
197	99	403
198	100	402
199	100	401
200	100	399
201	100	398
202	101	397
203	101	395
204	101	394
205	102	393
206	102	392
207	102	391
208	103	390
209	103	389
210	103	388
211	104	387
212	104	386
213	105	385
214	105	384
215	105	383
216	106	383
217	106	382
218	106	381
219	107	380
220	107	379
221	108	379
222	108	378
223	108	377
224	109	376
225	109	376
226	110	376
227	110	375
228	111	375
229	111	374
230	112	374
231	113	374
232	113	373
233	113	373
234	114	372
235	115	372
236	115	372
237	116	371
238	116	370
239	117	370
240	117	369
241	117	368
242	118	367
243	118	367
244	119	367
245	119	366
246	120	365
247	120	364
248	120	364
249	121	363
250	121	363
251	122	362
252	122	362
253	123	362
254	123	361
255	124	361
256	124	360
257	125	359
258	125	359
259	125	358
260	126	357
261	126	357
262	127	356
263	127	355
264	128	355
265	128	354
266	128	353
267	129	352
268	129	351
269	129	351
270	130	350
271	130	350
272	131	349
273	131	348
274	132	348
275	132	348
276	133	347
277	133	347
278	134	346
279	134	346
280	135	345
281	135	344
282	135	344
283	136	343
284	136	342
285	137	342
286	137	341
287	137	340
288	138	340
289	138	339
290	139	338
291	139	338
292	139	337
293	140	337
294	140	336
295	141	335
296	141	334
297	141	334
298	142	333
299	142	332
300	142	332
301	143	331
302	144	331
303	144	330
304	144	330
305	145	329
306	145	328
307	146	328
308	146	328
309	147	327
310	147	326
311	147	326
312	148	325
313	148	325
314	149	324
315	149	323
316	149	322
317	150	322
318	150	321
319	150	320
320	151	320
321	151	319
322	152	318
323	152	318
324	153	318
325	153	317
326	153	316
327	154	316
328	154	315
329	155	315
330	155	314
331	155	313
332	156	313
333	156	312
334	157	312
335	157	311
336	158	310
337	158	310
338	158	309
339	159	308
340	159	308
341	159	307
342	160	306
343	160	305
344	160	305
345	161	304
346	161	304
347	162	304
348	162	303
349	162	302
350	163	301
351	163	301
352	163	300
353	164	299
354	164	298
355	164	297
356	164	296
357	165	296
358	165	295
359	165	295
360	166	294
361	166	293
362	167	293
363	167	292
364	167	291
365	167	290
366	168	289
367	168	289
368	168	288
369	168	287
370	169	286
371	169	285
372	169	285
373	169	284
374	170	283
375	170	282
376	170	282
377	171	281
378	171	280
379	171	280
380	171	279
381	172	278
382	172	277
383	172	277
384	172	276
385	173	275
386	173	274
387	173	274
388	174	273
389	174	272
390	174	271
391	174	270
392	175	270
393	175	269
394	175	268
395	175	268
396	176	267
397	176	267
398	177	266
399	177	266
400	177	265
401	178	265
402	178	264
403	178	263
404	179	263
405	179	262
406	179	262
407	180	261
408	180	261
409	181	260
410	181	259
411	181	259
412	181	258
413	182	257
414	182	257
415	182	256
416	183	256
417	183	255
418	183	254
419	183	253
420	184	253
421	184	252
422	184	252
423	185	251
424	185	250
425	185	250
426	185	249
427	186	248
428	186	248
429	186	247
430	187	246
431	187	246
432	187	245
433	188	245
434	188	244
435	188	244
436	188	243
437	189	243
438	189	242
439	189	241
440	190	241
441	190	240
442	191	240
443	191	240
444	192	239
445	192	238
446	192	238
447	192	237
448	193	237
449	193	236
450	193	235
451	194	235
452	194	234
453	194	234
454	195	233
455	195	233
456	195	232
457	196	232
458	196	231
459	196	230
460	196	230
461	197	229
462	197	228
463	197	228
464	197	227
465	198	227
466	198	226
467	199	226
468	199	225
469	199	225
470	199	224
471	200	223
472	200	223
473	200	222
474	200	222
475	201	221
476	201	220
477	201	220
478	202	219
479	202	219
480	202	218
481	203	218
482	203	217
483	203	217
484	203	216
485	204	216
486	204	215
487	204	214
488	205	214
489	205	213
490	205	213
491	206	212
492	206	212
493	206	211
494	206	211
495	207	210
496	207	210
497	207	209
498	208	209
499	208	208
500	209	208
501	209	207
502	209	207
503	210	206
504	210	206
505	210	205
506	211	205
507	211	204
508	211	204
509	211	203
510	212	203
511	212	202
512	212	202
513	213	201
514	213	201
515	213	200
516	214	200
517	214	199
518	214	198
519	215	198
520	215	197
521	215	197
522	215	196
523	216	196
524	216	195
525	216	195
526	217	194
527	217	194
528	217	193
529	218	193
530	218	192
531	218	192
532	218	191
533	219	191
534	219	190
535	219	190
536	220	189
537	220	189
538	220	188
539	221	188
540	221	187
541	221	187
542	222	187
543	223	186
544	223	186
545	223	185
546	223	185
547	224	184
548	224	184
549	224	183
550	224	183
551	225	182
552	225	182
553	226	182
554	226	181
555	226	180
556	226	180
557	227	179
558	227	179
559	227	178
560	228	178
561	228	177
562	228	177
563	228	176
564	229	176
565	229	176
566	229	175
567	230	175
568	230	174
569	230	174
570	231	173
571	231	173
572	231	172
573	232	172
574	232	171
575	232	171
576	232	170
577	233	170
578	233	169
579	233	169
580	233	168
581	234	168
582	234	167
583	234	167
584	235	166
585	235	166
586	235	165
587	235	165
588	236	164
589	236	164
590	236	163
591	237	163
592	237	163
593	237	162
594	238	162
595	238	161
596	238	161
597	239	160
598	239	160
599	239	159
600	240	159
601	240	158
602	240	158
603	240	157
604	241	157
605	241	157
606	241	156
607	242	156
608	242	155
609	242	155
610	243	155
611	244	154
612	244	154
613	244	153
614	245	153
615	245	153
616	245	152
617	246	152
618	246	151
619	246	151
620	247	150
621	247	150
622	248	150
623	248	149
624	249	149
625	249	149
626	250	148
627	250	148
628	250	147
629	250	147
630	251	146
631	251	146
632	252	146
633	252	145
634	252	145
635	253	144
636	253	144
637	253	143
638	254	143
639	254	143
640	255	143
641	255	142
642	256	142
643	256	141
644	256	141
645	257	141
646	257	140
647	257	140
648	258	139
649	258	139
650	258	138
651	259	138
652	259	137
653	259	137
654	259	136
655	260	136
656	260	136
657	260	135
658	261	135
659	261	134
660	261	134
661	262	133
662	262	133
663	262	132
664	263	132
665	263	132
666	263	131
667	264	131
668	264	130
669	264	130
670	264	129
671	265	129
672	265	128
673	265	128
674	266	128
675	266	127
676	266	127
677	267	126
678	267	126
679	267	125
680	267	125
681	268	124
682	268	124
683	268	124
684	269	123
685	269	123
686	270	123
687	270	122
688	271	122
689	271	122
690	271	121
691	272	121
692	272	120
693	273	120
694	273	120
695	274	119
696	274	119
697	274	118
698	275	118
699	275	118
700	275	117
701	276	117
702	276	116
703	276	116
704	277	115
705	277	115
706	277	115
